date,value
2020-11-20,92544
2020-11-21,92588
2020-11-22,92648
2020-11-23,92733
2020-11-24,92829
2020-11-25,92914
2020-11-26,93025
2020-11-27,93113
2020-11-28,93225
2020-11-29,93329
2020-11-30,93465
2020-12-01,93577
2020-12-02,93668
2020-12-03,93797
2020-12-04,93905
2020-12-05,94038
2020-12-06,94160
2020-12-07,94293
2020-12-08,94383
2020-12-09,94500
2020-12-10,94618
2020-12-11,94749
2020-12-12,94849
2020-12-13,94950
2020-12-14,95064
2020-12-15,95167
2020-12-16,95279
2020-12-17,95375
2020-12-18,95491
2020-12-19,95580
2020-12-20,95716
2020-12-21,95816
2020-12-22,95916
2020-12-23,95998
2020-12-24,96074
2020-12-25,96159
2020-12-26,96240
2020-12-27,96324
2020-12-28,96417
2020-12-29,96513
2020-12-30,96592
2020-12-31,96673
2021-01-01,96829
2021-01-02,96894
2021-01-03,96972
2021-01-04,97061
2021-01-05,97127
2021-01-06,97217
2021-01-07,97306
2021-01-08,97387
2021-01-09,97518
2021-01-10,97652
2021-01-11,97754
2021-01-12,97933
2021-01-13,98117
2021-01-14,98290
2021-01-15,98459
2021-01-16,98625
2021-01-17,98794
2021-01-18,99026
2021-01-19,99191
2021-01-20,99414
2021-01-21,99589
2021-01-22,99767
2021-01-23,99931
2021-01-24,100136
2021-01-25,100291
2021-01-26,100431
2021-01-27,100548
2021-01-28,100641
2021-01-29,100747
2021-01-30,100877
2021-01-31,100974
2021-02-01,101039
2021-02-02,101092
2021-02-03,101143
2021-02-04,101187
2021-02-05,101241
2021-02-06,101272
2021-02-07,101316
2021-02-08,101363
2021-02-09,101408
2021-02-10,101429
2021-02-11,101463
2021-02-12,101496
2021-02-13,101515
2021-02-14,101536
2021-02-15,101561
2021-02-16,101576
2021-02-17,101604
2021-02-18,101624
2021-02-19,101646
2021-02-20,101669
2021-02-21,101700
2021-02-22,101726
2021-02-23,101750
2021-02-24,101778
2021-02-25,101802
2021-02-26,101836
2021-02-27,101878
2021-02-28,101920
2021-03-01,101945
2021-03-02,101968
2021-03-03,101995
2021-03-04,102015
2021-03-05,102036
2021-03-06,102064
2021-03-07,102101
2021-03-08,102125
2021-03-09,102152
2021-03-10,102172
2021-03-11,102203
2021-03-12,102276
2021-03-13,102333
2021-03-14,102363
2021-03-15,102411
2021-03-16,102433
2021-03-17,102450
2021-03-18,102479
2021-03-19,102502
2021-03-20,102523
2021-03-21,102539
2021-03-22,102566
2021-03-23,102589
2021-03-24,102612
2021-03-25,102635
2021-03-26,102659
2021-03-27,102680
2021-03-28,102698
2021-03-29,102715
2021-03-30,102734
2021-03-31,102762
2021-04-01,102790
2021-04-02,102838
2021-04-03,102867
2021-04-04,102908
2021-04-05,102949
2021-04-06,102970
2021-04-07,103003
2021-04-08,103034
2021-04-09,103066
2021-04-10,103083
2021-04-11,103113
2021-04-12,103136
2021-04-13,103165
2021-04-14,103185
2021-04-15,103203
2021-04-16,103237
2021-04-17,103273
2021-04-18,103315
2021-04-19,103340
2021-04-20,103371
2021-04-21,103382
2021-04-22,103419
2021-04-23,103441
2021-04-24,103464
2021-04-25,103484
2021-04-26,103503
2021-04-27,103529
2021-04-28,103562
2021-04-29,103595
2021-04-30,103622
2021-05-01,103649
2021-05-02,103667
2021-05-03,103694
2021-05-04,103713
2021-05-05,103731
2021-05-06,103759
2021-05-07,103773
2021-05-08,103795
2021-05-09,103808
2021-05-10,103841
2021-05-11,103869
2021-05-12,103901
2021-05-13,103936
2021-05-14,103985
2021-05-15,104191
2021-05-16,104425
2021-05-17,104782
2021-05-18,105040
